dept_no	year	month	spend	transactions	items
7	2011	10	176.8	32.0	63.0
7	2011	11	156.07	33.0	53.0
7	2011	12	136.25	24.0	42.0
7	2012	01	146.09	30.0	50.0
7	2012	02	188.11	38.0	59.0
7	2012	03	204.18	35.0	55.0
7	2012	04	211.51	41.0	63.0
7	2012	05	128.19	33.0	49.0
7	2012	06	149.64	34.0	49.0
7	2012	07	137.39	32.0	48.0
7	2012	08	116.05	26.0	36.0
7	2012	09	96.71	25.0	36.0
7	2012	10	88.61	22.0	29.0
7	2012	11	71.01	21.0	23.0
7	2012	12	114.79	29.0	35.0
7	2013	01	109.0	27.0	34.0
7	2013	02	125.51	30.0	39.0
7	2013	03	173.9	34.0	43.0
7	2013	04	144.74	31.0	34.0
7	2013	05	162.35	34.0	43.0
7	2013	06	132.66	27.0	40.0
7	2013	07	68.32	16.0	20.0
7	2013	08	120.16	29.0	33.0
7	2013	09	161.54	34.0	47.0
7	2013	10	98.64	19.0	27.0
7	2013	11	93.52	19.0	25.0
7	2013	12	82.99	14.0	24.0
7	2014	01	90.05	22.0	26.0
7	2014	02	85.86	19.0	24.0
7	2014	03	116.12	28.0	36.0
7	2014	04	131.85	27.0	38.0
7	2014	05	134.45	31.0	43.0
7	2014	06	111.1	24.0	37.0
7	2014	07	115.69	26.0	40.0
7	2014	08	91.71	20.0	29.0
7	2014	09	101.07	23.0	35.0
7	2014	10	68.61	16.0	23.0
7	2014	11	87.19	17.0	24.0
7	2014	12	107.33	24.0	31.0
7	2015	01	126.71	30.0	37.0
7	2015	02	114.4	21.0	32.0
7	2015	03	127.79	26.0	34.0
7	2015	04	127.35	30.0	35.0
7	2015	05	188.01	32.0	47.0
7	2015	06	143.15	27.0	37.0
7	2015	07	124.59	22.0	35.0
7	2015	08	137.41	26.0	38.0
7	2015	09	124.79	25.0	34.0
7	2015	10	87.03	20.0	25.0
7	2015	11	156.92	28.0	45.0
7	2015	12	134.39	23.0	44.0
7	2016	01	120.98	20.0	35.0
7	2016	02	95.61	19.0	28.0
7	2016	03	132.27	25.0	41.0
7	2016	04	121.82	21.0	27.0
7	2016	05	150.84	21.0	43.0
7	2016	06	67.18	19.0	23.0
7	2016	07	100.32	19.0	27.0
7	2016	08	100.41	20.0	33.0
7	2016	09	80.83	15.0	23.0
8	2010	01	526.95	67.0	130.0
8	2010	02	598.62	69.0	147.0
8	2010	03	620.09	91.0	160.0
8	2010	04	553.25	76.0	141.0
8	2010	05	625.68	86.0	166.0
8	2010	06	589.77	80.0	162.0
8	2010	07	721.67	99.0	176.0
8	2010	08	519.75	70.0	119.0
8	2010	09	668.75	79.0	158.0
8	2010	10	597.98	89.0	162.0
8	2010	11	697.3	88.0	179.0
8	2010	12	713.79	77.0	146.0
8	2011	01	698.05	88.0	178.0
8	2011	02	594.13	67.0	147.0
8	2011	03	763.21	87.0	184.0
8	2011	04	569.04	70.0	140.0
8	2011	05	473.28	64.0	115.0
8	2011	06	663.82	68.0	136.0
8	2011	07	657.81	66.0	157.0
8	2011	08	704.76	100.0	189.0
8	2011	09	643.95	89.0	155.0
8	2011	10	729.75	81.0	136.0
8	2011	11	629.28	86.0	162.0
8	2011	12	586.78	78.0	153.0
8	2012	01	745.93	91.0	161.0
8	2012	02	688.39	77.0	148.0
8	2012	03	643.65	85.0	152.0
8	2012	04	766.3	102.0	184.0
8	2012	05	741.06	102.0	188.0
8	2012	06	554.91	83.0	138.0
8	2012	07	715.9	93.0	156.0
8	2012	08	858.33	108.0	182.0
8	2012	09	646.91	87.0	163.0
8	2012	10	730.17	99.0	179.0
8	2012	11	775.37	89.0	167.0
8	2012	12	639.58	81.0	145.0
8	2013	01	518.09	74.0	126.0
8	2013	02	656.46	82.0	160.0
8	2013	03	729.83	93.0	160.0
8	2013	04	567.93	90.0	148.0
8	2013	05	775.72	95.0	184.0
8	2013	06	469.72	61.0	110.0
8	2013	07	669.12	85.0	144.0
8	2013	08	475.52	63.0	110.0
8	2013	09	555.04	73.0	133.0
8	2013	10	649.29	87.0	145.0
8	2013	11	826.32	63.0	121.0
8	2013	12	662.54	67.0	134.0
8	2014	01	704.97	72.0	148.0
8	2014	02	463.03	57.0	108.0
8	2014	03	561.69	75.0	146.0
8	2014	04	541.4	55.0	114.0
8	2014	05	818.81	87.0	178.0
8	2014	06	681.86	79.0	149.0
8	2014	07	787.74	80.0	144.0
8	2014	08	520.95	69.0	123.0
8	2014	09	765.99	87.0	174.0
8	2014	10	742.83	86.0	177.0
8	2014	11	585.91	63.0	128.0
8	2014	12	644.2	68.0	131.0
8	2015	01	741.28	84.0	159.0
8	2015	02	570.14	83.0	145.0
8	2015	03	858.96	107.0	188.0
8	2015	04	949.74	117.0	217.0
8	2015	05	1156.25	134.0	290.0
8	2015	06	866.58	111.0	202.0
8	2015	07	1067.94	128.0	248.0
8	2015	08	799.84	120.0	209.0
8	2015	09	903.17	122.0	230.0
8	2015	10	944.24	114.0	232.0
8	2015	11	837.58	108.0	202.0
8	2015	12	789.75	100.0	197.0
8	2016	01	719.13	88.0	169.0
8	2016	02	595.29	84.0	148.0
8	2016	03	761.26	104.0	194.0
8	2016	04	906.35	132.0	222.0
8	2016	05	921.16	119.0	236.0
8	2016	06	733.72	106.0	182.0
8	2016	07	613.36	92.0	163.0
8	2016	08	686.59	117.0	193.0
8	2016	09	793.42	111.0	200.0
9	2010	01	225.19	28.0	39.0
9	2010	02	80.15	12.0	16.0
9	2010	03	131.93	16.0	22.0
9	2010	04	113.83	17.0	21.0
9	2010	05	78.1	17.0	19.0
9	2010	06	217.36	24.0	37.0
9	2010	07	197.65	22.0	30.0
9	2010	08	155.97	20.0	32.0
