student	state	district_num	formatted_dist_num	abbrev	district	candidate	party	website	twitter handle	incumbent	age	gender	marital_status	white_non_hispanic	hispanic	black	partisian_lean_pvi	opposed	pct_urban	income	region
patrick	Florida	25	25	FL	FL25	Mary Barzee Flores 	Democratic	https://marybarzeeflores.com	MBFforCongress	No	NA	F	Married	T	F	F	R+4	Yes	94.4	46869	S
patrick	Florida	25	25	FL	FL25	Mario Díaz-Balart 	Republican	https://mariodiazbalart.org	MarioDB	Yes	57	M	Married	F	T	F	R+4	Yes	94.4	46869	S
patrick	Georgia	3	03	GA	GA03	Chuck Enderlin 	Democratic	https://chuckenderlin.com	Vote_Chuck	No	NA	M	Married	T	F	F	R+18	Yes	60.53	50155	S
patrick	Georgia	3	03	GA	GA03	Drew Ferguson 	Republican	https://ferguson.house.gov	RepDrewFerguson	Yes	51	M	Married	T	F	F	R+18	Yes	60.53	50155	S
patrick	Georgia	5	05	GA	GA05	John Lewis 	Democratic	https://www.johnlewisforcongress.com	repjohnlewis	Yes	78	M	Single	F	F	T	D+34	No	99.97	40708	S
patrick	Illinois	6	06	IL	IL06	Sean Casten 	Democratic	https://castenforcongress.com	VoteCasten	No	NA	M	Married	T	F	F	R+2	Yes	99.4	85,655	MW
patrick	Illinois	6	06	IL	IL06	Peter Roskam 	Republican	https://www.roskamforcongress.com	PeterRoskam	Yes	58	M	Married	T	F	F	R+2	Yes	99.4	85,655	MW
patrick	Indiana	8	08	IN	IN08	Larry Bucshon 	Republican	https://www.bucshonforcongress.com	DrLarryBucshon	Yes	56	M	Married	T	F	F	R+15	Yes	58.1	36,732	MW
patrick	Indiana	8	08	IN	IN08	William Tanoos 	Democratic	http://williamtanoos.com	Tanoos2018	No	NA	M	Married	F	F	F	R+15	Yes	58.1	36,732	MW
patrick	Iowa	4	04	IA	IA04	Charles Aldrich 	Libertarian	NA	NA	No	NA	M	NA	F	F	F	R+11	Yes	50.58	38,242	MW
patrick	Iowa	4	04	IA	IA04	Steve King 	Republican	https://www.steveking.com	SteveKingIA	Yes	69	M	Married	T	F	F	R+11	Yes	50.58	38,242	MW
patrick	Iowa	4	04	IA	IA04	J.D. Scholten	Democratic	https://www.scholten4iowa.com	Scholten4Iowa	No		M	Single	T	F	F	R+11	Yes	50.58	38,242	MW
patrick	Kansas	4	04	KS	KS04	Ron Estes 	Republican	https://estesforcongress.com	RonEstesKS	Yes	62	M	Married	T	F	F	R+15	Yes	78.9	40,917	MW
patrick	Kansas	4	04	KS	KS04	James Thompson 	Democratic	https://www.votejamesthompson.com	JamesThompsonKS	No	NA	M	Married	T	F	F	R+15	Yes	78.9	40,917	MW
patrick	Kentucky	6	06	KY	KY06	Andy Barr 	Republican	https://www.andybarrforcongress.com	barrforcongress	Yes	45	M	Married	T	F	F	R+9	Yes	72.59	50,659	S
patrick	Kentucky	6	06	KY	KY06	Frank Harris 	Libertarian	https://www.votefrankharris.com	VoteFrankHarris	No	56	M	Married	T	F	F	R+9	Yes	72.59	50,659	S
patrick	Kentucky	6	06	KY	KY06	Amy McGrath 	Democratic	https://amymcgrathforcongress.com	AmyMcGrathKY	No	NA	F	Married	T	F	F	R+9	Yes	72.59	50,659	S
patrick	Massachusetts	3	03	MA	MA03	Rick Green 	Republican	https://www.rickgreenforma.com	RickGreenMA	No	NA	M	Married	T	F	F	D+9	Yes	48.2	63270	NE
patrick	Massachusetts	3	03	MA	MA03	Dan Koh 	Democratic	https://koh2018.com	dank	No	33	M	Married	F	F	F	D+9	Yes	48.2	63270	NE
patrick	Massachusetts	3	03	MA	MA03	Lori Trahan 	Democratic	https://loritrahan.com	LoriUSCongress	No	NA	F	Married	T	F	F	D+9	Yes	48.2	63270	NE
patrick	Minnesota	4	04	MN	MN04	Betty McCollum 	Democratic	https://www.mccollumforcongress.com	VoteBetty	Yes	64	F	Single	T	F	F	D+14	Yes	97.21	66,175	MW
patrick	Minnesota	4	04	MN	MN04	Susan Pendergast Sindt 	Legal Marijuana Now	https://www.facebook.com/Sindtforcongress/	NA	No	NA	F	NA	T	F	F	D+14	Yes	97.21	66,175	MW
patrick	Minnesota	4	04	MN	MN04	Greg Ryan 	Republican	http://ryan4us.com	GregTRyan4US	No	NA	M	Single	T	F	F	D+14	Yes	97.21	66,175	MW
patrick	Minnesota	6	06	MN	MN06	Tom Emmer 	Republican	https://emmerforcongress.com	tomemmer	Yes	57	M	Married	T	F	F	R+12	Yes	69.55	77,049	MW
patrick	Minnesota	6	06	MN	MN06	Ian Todd 	Democratic	https://www.iantoddforcongress.com	IanToddforMN	No	NA	M	Married	T	F	F	R+12	Yes	69.55	77,049	MW
patrick	Minnesota	7	07	MN	MN07	Dave Hughes 	Republican	https://www.hughesforcongress.us	DHughesCongress	No		M	Married	T	F	F	R+12	Yes	35.87	52,620	MW
patrick	Minnesota	7	07	MN	MN07	Collin Peterson 	Democratic	http://www.petersonforcongress.com	collinpeterson	Yes	74	M	Single	T	F	F	R+12	Yes	35.87	52,620	MW
patrick	Mississippi	1	01	MS	MS01	Trent Kelly 	Republican	http://www.kellyformississippi.com	RepTrentKelly	Yes	52	M	Single	T	F	F	R+16	Yes	38.36	35,831	S
patrick	Mississippi	1	01	MS	MS01	Randy Wadkins 	Democratic	https://www.wadkinsforcongress.com	Wadkins2018	No	53	M	Single	T	F	F	R+16	Yes	38.36	35,831	S
